_id,gameId,teamId,assists,blocks,steals,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,turnovers,q1Points,q2Points,q3Points,q4Points
699821cee161b702e0882230,22500763,1610612762,29,2,8,0.424,0.278,0.871,43,15,58,12,26,35,24,30
699821cee161b702e0882231,22500761,1610612765,20,3,12,0.471,0.2,0.821,27,14,41,10,29,32,27,22
699821cee161b702e0882232,22500761,1610612766,22,3,4,0.415,0.404,1,28,11,39,18,33,24,21,26
699821cee161b702e0882233,22500760,1610612746,25,6,11,0.513,0.519,0.821,29,8,37,13,23,31,26,35
699821cee161b702e0882234,22500760,1610612750,17,2,8,0.446,0.242,0.636,31,10,41,20,19,23,17,37
699821cee161b702e0882235,22500759,1610612754,26,3,6,0.449,0.364,0.857,33,7,40,19,20,28,26,30
699821cee161b702e0882236,22500759,1610612761,29,8,12,0.474,0.367,0.7,37,17,54,10,21,25,44,32
699821cee161b702e0882237,22500758,1610612748,34,4,18,0.471,0.447,0.867,39,21,60,16,37,37,33,25
699821cee161b702e0882238,22500758,1610612764,23,6,7,0.419,0.333,0.688,32,10,42,19,33,19,23,26
699821cee161b702e0882239,22500757,1610612738,22,3,4,0.37,0.171,0.933,30,14,44,10,24,29,15,21
699821cee161b702e088223a,22500757,1610612752,23,3,5,0.482,0.4,0.708,39,7,46,8,35,25,25,26
699821cee161b702e088223b,22500756,1610612739,30,3,9,0.523,0.314,0.906,29,9,38,11,25,32,36,39
699821cee161b702e088223c,22500755,1610612757,30,3,7,0.484,0.412,0.643,34,14,48,17,31,32,25,34
699821cee161b702e088223d,22500756,1610612758,30,5,9,0.511,0.432,0.7,27,15,42,15,31,24,41,30
699821cee161b702e088223e,22500755,1610612763,19,6,14,0.5,0.421,0.714,31,5,36,14,30,33,33,19
699821cee161b702e088223f,22500754,1610612755,18,4,5,0.473,0.379,0.824,39,11,50,17,24,34,23,28
699821cee161b702e0882240,22500754,1610612756,22,0,8,0.398,0.239,0.839,28,12,40,12,22,25,24,32
699821cee161b702e0882241,22500753,1610612744,25,3,16,0.424,0.275,0.636,27,10,37,12,21,21,29,28
699821cee161b702e0882242,22500753,1610612747,29,10,7,0.507,0.407,0.8,36,5,41,22,20,21,38,26
