_id,gameId,teamId,defRating,eOffRating,efgPct,netRating,pace,tsPct
699821d4e161b702e08a5ae3,22500689,1610612738,103.3,120.4,0.548,21.1,90,0.56
699821d4e161b702e08a5ae4,22500695,1610612743,116,131.1,0.658,13.8,94,0.701
699821d4e161b702e08a5ae5,22500693,1610612756,108.7,119,0.665,12.5,104,0.678
699821d4e161b702e08a5ae6,22500694,1610612751,106.5,114.4,0.561,12,92.5,0.578
699821d4e161b702e08a5ae7,22500696,1610612765,109.7,117.1,0.537,8.3,112,0.591
699821d4e161b702e08a5ae8,22500691,1610612740,107.1,112.4,0.534,5.8,100,0.573
699821d4e161b702e08a5ae9,22500687,1610612753,117.6,125.9,0.622,9.8,102,0.689
699821d4e161b702e08a5aea,22500687,1610612761,127.5,114.2,0.565,-9.8,102,0.612
699821d4e161b702e08a5aeb,22500691,1610612763,112.9,102.3,0.495,-5.8,100,0.532
699821d4e161b702e08a5aec,22500696,1610612744,118,110.3,0.544,-8.3,112,0.588
699821d4e161b702e08a5aed,22500694,1610612762,118.5,108.4,0.564,-12,92.5,0.573
699821d4e161b702e08a5aee,22500693,1610612739,121.2,104.8,0.541,-12.5,104,0.555
699821d4e161b702e08a5aef,22500695,1610612746,129.8,116.9,0.547,-13.8,94,0.572
699821d4e161b702e08a5af0,22500689,1610612758,124.4,98.8,0.434,-21.1,90,0.499
699821d4e161b702e08a5af1,22500690,1610612757,127,95.7,0.512,-30,100,0.543
699821d4e161b702e08a5af2,22500688,1610612764,135.2,105.3,0.525,-29.5,105,0.537
699821d4e161b702e08a5af3,22500682,1610612745,95.6,114.5,0.489,18.7,90.5,0.516
699821d4e161b702e08a5af4,22500529,1610612748,104.6,107.8,0.516,3.8,107.5,0.56
699821d4e161b702e08a5af5,22500681,1610612764,97.1,105.5,0.438,10.9,101.5,0.503
699821d4e161b702e08a5af6,22500685,1610612756,100,116.6,0.57,18.8,96,0.621
699821d4e161b702e08a5af7,22500680,1610612755,120.7,122,0.597,3.5,91.5,0.66
699821d4e161b702e08a5af8,22500684,1610612743,118.4,117.6,0.556,3.2,87.5,0.588
699821d4e161b702e08a5af9,22500686,1610612750,113.3,120.7,0.629,11,98.5,0.635
699821d4e161b702e08a5afa,22500683,1610612766,119.8,121.9,0.582,0.8,101.5,0.622
699821d4e161b702e08a5afb,22500683,1610612742,120.6,115.2,0.519,-0.8,101.5,0.55
699821d4e161b702e08a5afc,22500686,1610612760,124.2,111.2,0.541,-11,98.5,0.585
699821d4e161b702e08a5afd,22500684,1610612751,121.6,117.2,0.518,-3.2,87.5,0.554
699821d4e161b702e08a5afe,22500680,1610612758,124.2,117.9,0.561,-3.5,91.5,0.602
699821d4e161b702e08a5aff,22500685,1610612765,118.8,99.8,0.46,-18.8,96,0.499
699821d4e161b702e08a5b00,22500681,1610612749,107.9,95.2,0.469,-10.9,101.5,0.485
699821d4e161b702e08a5b01,22500529,1610612741,108.4,105.8,0.473,-3.8,107.5,0.529
699821d4e161b702e08a5b02,22500682,1610612737,114.3,91.4,0.43,-18.7,90.5,0.448
699821d4e161b702e08a5b03,22500671,1610612739,102.1,130.7,0.613,30.9,97,0.628
699821d4e161b702e08a5b04,22500675,1610612752,92,115.6,0.578,25.8,100.5,0.608
699821d4e161b702e08a5b05,22500679,1610612759,100,111.5,0.573,12.1,99,0.6
699821d4e161b702e08a5b06,22500677,1610612750,100,110.4,0.521,12.4,105,0.557
699821d4e161b702e08a5b07,22500678,1610612744,114.8,130.6,0.669,16,107.5,0.706
699821d4e161b702e08a5b08,22500674,1610612753,115.9,124.9,0.577,7.3,107.5,0.597
699821d4e161b702e08a5b09,22500672,1610612754,113.4,117.7,0.535,1.9,97.5,0.589
699821d4e161b702e08a5b0a,22500673,1610612737,110.4,119.7,0.581,10.2,96.5,0.593
699821d4e161b702e08a5b0b,22500676,1610612766,105.4,111.4,0.583,16.3,92,0.599
699821d4e161b702e08a5b0c,22500676,1610612763,121.7,106.3,0.543,-16.3,92,0.562
699821d4e161b702e08a5b0d,22500673,1610612738,120.6,109.2,0.522,-10.2,96.5,0.552
699821d4e161b702e08a5b0e,22500672,1610612741,115.3,112.3,0.545,-1.9,97.5,0.573
699821d4e161b702e08a5b0f,22500674,1610612748,123.1,115.8,0.585,-7.3,107.5,0.632
699821d4e161b702e08a5b10,22500678,1610612762,130.8,113.2,0.572,-16,107.5,0.617
699821d4e161b702e08a5b11,22500677,1610612742,112.4,98.9,0.47,-12.4,105,0.519
699821d4e161b702e08a5b12,22500679,1610612745,112.1,95.3,0.434,-12.1,99,0.463
699821d4e161b702e08a5b13,22500675,1610612761,117.8,92.2,0.424,-25.8,100.5,0.501
699821d4e161b702e08a5b14,22500671,1610612747,133,102.1,0.537,-30.9,97,0.557
699821d4e161b702e08a5b15,22500665,1610612752,90.6,108.5,0.558,17.8,95.5,0.599
699821d4e161b702e08a5b16,22500664,1610612764,103.7,107.2,0.495,3.7,107,0.536
699821d4e161b702e08a5b17,22500667,1610612760,97.9,103.9,0.477,11.5,96,0.535
699821d4e161b702e08a5b18,22500666,1610612755,123.2,139.6,0.634,18.6,98.5,0.646
699821d4e161b702e08a5b19,22500669,1610612756,114.6,116.7,0.591,3.2,89.5,0.618
699821d4e161b702e08a5b1a,22500670,1610612746,109.6,119.5,0.568,10.2,95,0.591
699821d4e161b702e08a5b1b,22500668,1610612743,116,111.3,0.536,-2.1,94,0.568
699821d4e161b702e08a5b1c,22500668,1610612765,113.8,113.6,0.5,2.1,94,0.535
699821d4e161b702e08a5b1d,22500670,1610612762,119.8,104.8,0.524,-10.2,95,0.564
